province,specialism,DP1_norm
Noord-Holland,General & Trauma Surgery,0.6816651138963418
Noord-Holland,Geriatrics & Elderly Care,0.06947349105107153
Noord-Holland,Gynecology & Obstetrics,0.44649490742330095
Noord-Holland,Internal Medicine,0.9689635593374755
Noord-Holland,Neurology & Neurosurgery,0.4479355609902242
Noord-Holland,Oncology & Radiotherapy,0.04221323877056985
Noord-Holland,Ophthalmology,0.5954277977648184
Noord-Holland,Orthopedics,0.4032299855572226
Noord-Holland,Pain Management & Anaesthesiology,0.11606254940962407
Noord-Holland,Pediatrics,0.27592663984597743
Noord-Holland,Plastic & Reconstructive Surgery,0.1270772006297942
Noord-Holland,Psychiatry & Mental Health,0.003079147608528373
Noord-Holland,Pulmonology,0.3580838240754141
Noord-Holland,Radiology & Interventional Radiology,1.256058984517993e-4
Noord-Holland,Rehabilitation Medicine,0.10577338458550345
Noord-Holland,Rheumatology,0.1585230203739605
Noord-Holland,Sports Medicine & Other,0.014948948532390718
Noord-Holland,Urology,0.3108302973479381
Overijssel,Audiology,0.022744280043742068
Overijssel,Cardiology,0.6809807939653244
Overijssel,Cardiothoracic Surgery,0.01247440501225513
Overijssel,Clinical Genetics,0.015336074586626282
Overijssel,Dermatology & Allergology,0.4972284844527747
Overijssel,ENT,0.3982315927717532
Overijssel,Gastroenterology & Hepatology,0.30207123680434905
Overijssel,General & Trauma Surgery,0.6819053609859023
Overijssel,Geriatrics & Elderly Care,0.06949954451057715
Overijssel,Gynecology & Obstetrics,0.44665287315139646
Overijssel,Internal Medicine,0.9693043264188846
Overijssel,Neurology & Neurosurgery,0.44809403077424875
Overijssel,Oncology & Radiotherapy,0.04222975441189194
Overijssel,Ophthalmology,0.5956378721386815
Overijssel,Orthopedics,0.40337281375268497
Overijssel,Pain Management & Anaesthesiology,0.11610490345077482
Overijssel,Pediatrics,0.27602492714163246
Overijssel,Plastic & Reconstructive Surgery,0.12712340847756462
Overijssel,Psychiatry & Mental Health,0.0030819710124331255
Overijssel,Pulmonology,0.35821085653004964
Overijssel,Radiology & Interventional Radiology,1.2739591706215653e-4
Overijssel,Rehabilitation Medicine,0.10581213865324447
Overijssel,Rheumatology,0.15858023048642997
Overijssel,Sports Medicine & Other,0.014955924942728483
Overijssel,Urology,0.3109407967367084
Utrecht,Audiology,0.022430253207381585
Utrecht,Cardiology,0.6732138855669317
Utrecht,Cardiothoracic Surgery,0.012276658814613001
Utrecht,Clinical Genetics,0.015105927141170664
Utrecht,Dermatology & Allergology,0.4915421111972716
Utrecht,ENT,0.39366611161673876
Utrecht,Gastroenterology & Hepatology,0.2985945310800962
Utrecht,General & Trauma Surgery,0.6741279841793391
Utrecht,Geriatrics & Elderly Care,0.06865613128937943
Utrecht,Gynecology & Obstetrics,0.44153914214983175
Utrecht,Internal Medicine,0.9582728754229978
Utrecht,Neurology & Neurosurgery,0.4429639822684917
Utrecht,Oncology & Radiotherapy,0.04169510333246017
Utrecht,Ophthalmology,0.5888372587954542
Utrecht,Orthopedics,0.3987491211337899
Utrecht,Pain Management & Anaesthesiology,0.11473380114975394
Utrecht,Pediatrics,0.27284313070444993
Utrecht,Plastic & Reconstructive Surgery,0.12562754917625812
Utrecht,Psychiatry & Mental Health,0.00299057062925035
Utrecht,Pulmonology,0.35409851007802795
Utrecht,Radiology & Interventional Radiology,6.94487042614676e-5
Utrecht,Rehabilitation Medicine,0.10455757616027042
Utrecht,Rheumatology,0.15672820138324894
Utrecht,Sports Medicine & Other,0.014730081740826509
Utrecht,Urology,0.30736366543853927
Zeeland,Audiology,0.023382101684395192
Zeeland,Cardiology,0.6967562044839927
Zeeland,Cardiothoracic Surgery,0.012876048405777827
Zeeland,Clinical Genetics,0.015803528333426818
Zeeland,Dermatology & Allergology,0.5087781085588737
Zeeland,ENT,0.4075045667456063
Zeeland,Gastroenterology & Hepatology,0.30913279299111235
Zeeland,General & Trauma Surgery,0.6977020339461881
Zeeland,Geriatrics & Elderly Care,0.071212605759506
Zeeland,Gynecology & Obstetrics,0.45703940041473107
Zeeland,Internal Medicine,0.9917103674264887
Zeeland,Neurology & Neurosurgery,0.45851370061041485
Zeeland,Oncology & Radiotherapy,0.043315687170417956
Zeeland,Ophthalmology,0.6094506354371834
Zeeland,Orthopedics,0.41276402135213364
Zeeland,Pain Management & Anaesthesiology,0.11888975690239678
Zeeland,Pediatrics,0.28248749144762836
Zeeland,Plastic & Reconstructive Surgery,0.13016165656108292
Zeeland,Psychiatry & Mental Health,0.003267614835214696
Zeeland,Pulmonology,0.366563466107505
Zeeland,Radiology & Interventional Radiology,2.450928208305462e-4
Zeeland,Rehabilitation Medicine,0.10836028745748237
Zeeland,Rheumatology,0.16234189702047172
Zeeland,Sports Medicine & Other,0.01541463631668926
Zeeland,Urology,0.31820632786096803
Zuid-Holland,Audiology,0.022576504631975174
Zuid-Holland,Cardiology,0.6768311605460958
Zuid-Holland,Cardiothoracic Surgery,0.01236875496616588
Zuid-Holland,Clinical Genetics,0.015213113495542682
Zuid-Holland,Dermatology & Allergology,0.494190420491556
Zuid-Holland,ENT,0.39579238888213003
Zuid-Holland,Gastroenterology & Hepatology,0.30021373398312756
Zuid-Holland,General & Trauma Surgery,0.6777501346004428
Zuid-Holland,Geriatrics & Elderly Care,0.06904893333951898
Zuid-Holland,Gynecology & Obstetrics,0.44392075530313785
Zuid-Holland,Internal Medicine,0.963410542770736
Zuid-Holland,Neurology & Neurosurgery,0.44535319495775333
Zuid-Holland,Oncology & Radiotherapy,0.041944105879292294
Zuid-Holland,Ophthalmology,0.5920045020829527
Zuid-Holland,Orthopedics,0.40090250916977294
Zuid-Holland,Pain Management & Anaesthesiology,0.1153723633411638
Zuid-Holland,Pediatrics,0.2743249857812261
Zuid-Holland,Plastic & Reconstructive Surgery,0.12632421432864818
Zuid-Holland,Psychiatry & Mental Health,0.0030331384441664466
Zuid-Holland,Pulmonology,0.356013749342293
Zuid-Holland,Radiology & Interventional Radiology,9.64364054450693e-5
Zuid-Holland,Rehabilitation Medicine,0.10514186237595076
Zuid-Holland,Rheumatology,0.15759074516411892
Zuid-Holland,Sports Medicine & Other,0.014835263483876726
Zuid-Holland,Urology,0.30902963945012013
